"Var1","Var2","value","year"
"R591","R247_R539_L433",0.289322617680827,"2018"
"R605","R247_R539_L433",0.561227260385555,"2018"
"R607","R247_R539_L433",0.381555646369704,"2018"
"R611","R247_R539_L433",0,"2018"
"R623","R247_R539_L433",0.577127095268407,"2018"
"R627_R1334","R247_R539_L433",0.683067259879613,"2018"
"R646","R247_R539_L433",0.753761283851555,"2018"
"R685_R836","R247_R539_L433",0.180621698848385,"2018"
"R693","R247_R539_L433",0.27063560540696,"2018"
"R713","R247_R539_L433",0,"2018"
"R714","R247_R539_L433",0,"2018"
"R716","R247_R539_L433",0.563414634146341,"2018"
"R717","R247_R539_L433",0.529695024077046,"2018"
"R724","R247_R539_L433",0.508176488738044,"2018"
"R726","R247_R539_L433",0.617878787878788,"2018"
"R727","R247_R539_L433",0.235922574157868,"2018"
"R728","R247_R539_L433",0.0166204986149584,"2018"
"R729","R247_R539_L433",0.557317073170732,"2018"
"R730","R247_R539_L433",0.498762196009902,"2018"
"R732","R247_R539_L433",0.455824017309773,"2018"
"R734","R247_R539_L433",0,"2018"
"R737","R247_R539_L433",0,"2018"
"R738","R247_R539_L433",0.451916124367317,"2018"
"R739","R247_R539_L433",0.438558713752512,"2018"
"R741_R1232","R247_R539_L433",0.565264882577826,"2018"
"R743","R247_R539_L433",0.473580441640379,"2018"
"R745","R247_R539_L433",0.639947437582129,"2018"
"R747","R247_R539_L433",0.554455445544555,"2018"
"R748","R247_R539_L433",0.563981042654028,"2018"
"R749","R247_R539_L433",0.46164863144494,"2018"
"R750","R247_R539_L433",0.315434500648508,"2018"
"R753","R247_R539_L433",0.603286384976526,"2018"
"R761","R247_R539_L433",0.141304347826087,"2018"
"R767","R247_R539_L433",0.0585365853658537,"2018"
"R769","R247_R539_L433",0.15067852129153,"2018"
"R777_R889","R247_R539_L433",0.57222029788708,"2018"
"R800","R247_R539_L433",0.122227747389359,"2018"
"R811","R247_R539_L433",0.27090004769367,"2018"
