"uid_ini","uid_rec","AI","year"
"R729","R716",0.291666666666667,2018
"R729","R717",0.36,2018
"R729","R739",0.0416666666666667,2018
"R730","R176_L222",0.142857142857143,2018
"R730","R247_R539_L433",0.0454545454545455,2018
"R730","R305",0.05,2018
"R730","R587",0.0384615384615385,2018
"R730","R623",0.05,2018
"R730","R627",0.166666666666667,2018
"R730","R724",0.0454545454545455,2018
"R730","R759",0.0476190476190476,2018
"R730","R777_R889",0.0476190476190476,2018
"R732","R296",0.0833333333333333,2018
"R732","R377",0.1,2018
"R732","R591",0.192307692307692,2018
"R732","R716",0.217391304347826,2018
"R732","R717",0.25,2018
"R732","R729",0.208333333333333,2018
"R732","R745",0.0476190476190476,2018
"R732","R748",0.0454545454545455,2018
"R733","R296",0.0588235294117647,2018
"R733","R745",0.0833333333333333,2018
"R733","R775",0.5,2018
"R734","R291",0.0416666666666667,2018
"R734","R479",0.0384615384615385,2018
"R734","R584",0.04,2018
"R734","R591",0.0769230769230769,2018
"R734","R611",0.28,2018
"R734","R713",0.12,2018
"R734","R714",0.230769230769231,2018
"R734","R728",0.0357142857142857,2018
"R734","R813_R1020",0.0476190476190476,2018
"R737","R462_R577",0.0434782608695652,2018
"R737","R479",0.08,2018
"R737","R584",0.04,2018
"R737","R611",0.269230769230769,2018
"R737","R713",0.153846153846154,2018
"R737","R714",0.423076923076923,2018
"R737","R728",0.321428571428571,2018
"R737","R734",0.333333333333333,2018
"R737","R752",0.04,2018
"R737","R779",0.0416666666666667,2018
"R738","R296",0.166666666666667,2018
"R738","R377",0.0476190476190476,2018
"R738","R526",0.05,2018
"R738","R587",0.08,2018
"R738","R591",0.0740740740740741,2018
"R738","R715",0.05,2018
"R738","R717",0.08,2018
"R738","R718",0.05,2018
"R738","R729",0.037037037037037,2018
"R738","R732",0.04,2018
"R738","R738",0.05,2018
"R738","R741_R1232",0.037037037037037,2018
"R738","R764",0.05,2018
"R739","R611",0.0476190476190476,2018
"R739","R732",0.0526315789473684,2018
"R741_R1232","R296",0.115384615384615,2018
"R741_R1232","R587",0.230769230769231,2018
"R741_R1232","R591",0.37037037037037,2018
"R741_R1232","R716",0.24,2018
"R741_R1232","R717",0.192307692307692,2018
"R741_R1232","R729",0.28,2018
"R741_R1232","R732",0.32,2018
"R741_R1232","R753",0.037037037037037,2018
"R742","R296",0.05,2018
"R742","R377",0.111111111111111,2018
"R742","R591",0.04,2018
"R742","R738",0.0454545454545455,2018
"R743","R296",0.0869565217391304,2018
"R743","R520_L575",0.0476190476190476,2018
"R743","R587",0.04,2018
"R743","R591",0.285714285714286,2018
"R743","R716",0.24,2018
"R743","R717",0.291666666666667,2018
"R743","R729",0.269230769230769,2018
"R743","R732",0.115384615384615,2018
"R743","R741_R1232",0.0769230769230769,2018
"R743","R775",0.05,2018
"R745","R296",0.315789473684211,2018
"R745","R377",0.181818181818182,2018
"R745","R561",0.0769230769230769,2018
"R745","R591",0.0769230769230769,2018
"R745","R716",0.0434782608695652,2018
"R745","R717",0.12,2018
"R745","R729",0.0384615384615385,2018
"R745","R738",0.136363636363636,2018
"R745","R741_R1232",0.111111111111111,2018
"R745","R742",0.125,2018
"R745","R743",0.0869565217391304,2018
"R745","R748",0.0666666666666667,2018
"R746","R724",0.166666666666667,2018
"R747","R296",0.0476190476190476,2018
"R747","R520_L575",0.0588235294117647,2018
"R747","R591",0.153846153846154,2018
"R747","R716",0.142857142857143,2018
"R747","R717",0.136363636363636,2018
"R747","R729",0.208333333333333,2018
"R747","R732",0.1,2018
"R747","R741_R1232",0.08,2018
"R747","R743",0.238095238095238,2018
"R747","R748",0.0588235294117647,2018
"R748","R296",0.0555555555555556,2018
"R748","R587",0.0454545454545455,2018
"R748","R591",0.153846153846154,2018
"R748","R716",0.0869565217391304,2018
"R748","R717",0.0434782608695652,2018
"R748","R729",0.0769230769230769,2018
"R748","R741_R1232",0.0769230769230769,2018
"R748","R743",0.05,2018
"R750","R291",0.0416666666666667,2018
"R750","R466",0.0476190476190476,2018
"R750","R587",0.0384615384615385,2018
"R750","R591",0.0357142857142857,2018
"R750","R611",0.2,2018
"R750","R646",0.0454545454545455,2018
"R750","R713",0.16,2018
"R750","R714",0.192307692307692,2018
"R750","R728",0.214285714285714,2018
"R750","R734",0.08,2018
"R750","R737",0.0769230769230769,2018
"R750","R741_R1232",0.0740740740740741,2018
"R750","R747",0.0416666666666667,2018
"R750","R752",0.0434782608695652,2018
"R750","R777_R889",0.0952380952380952,2018
"R752","R767",0.0666666666666667,2018
"R753","R150_R751_L230",0.0454545454545455,2018
"R753","R316",0.0434782608695652,2018
"R753","R584",0.0909090909090909,2018
"R753","R627",0.260869565217391,2018
"R753","R730",0.318181818181818,2018
"R754","R753",0.0588235294117647,2018
"R756","R714",0.0384615384615385,2018
"R756","R761",0.0909090909090909,2018
"R761","R291",0.0666666666666667,2018
"R761","R306",0.1,2018
"R761","R450",0.1,2018
"R761","R584",0.0588235294117647,2018
"R761","R591",0.037037037037037,2018
"R761","R607",0.0909090909090909,2018
"R761","R611",0.0476190476190476,2018
"R761","R627",0.0454545454545455,2018
"R761","R713",0.0416666666666667,2018
"R761","R727",0.0833333333333333,2018
"R761","R728",0.0769230769230769,2018
"R761","R734",0.0416666666666667,2018
"R764","R296",0.0588235294117647,2018
"R767","R479",0.0555555555555556,2018
"R767","R713",0.0454545454545455,2018
"R767","R714",0.0384615384615385,2018
"R767","R734",0.0454545454545455,2018
"R767","R737",0.0434782608695652,2018
"R769","R727",0.166666666666667,2018
"R769","R753",0.0588235294117647,2018
"R769","R761",0.0833333333333333,2018
"R777_R889","R291",0.0833333333333333,2018
"R777_R889","R739",0.142857142857143,2018
"R778","R479",0.0869565217391304,2018
"R778","R611",0.0909090909090909,2018
"R778","R648",0.0666666666666667,2018
"R778","R713",0.0833333333333333,2018
"R778","R714",0.0384615384615385,2018
"R778","R728",0.037037037037037,2018
"R778","R734",0.0434782608695652,2018
"R778","R737",0.125,2018
"R778","R750",0.0869565217391304,2018
"R778","R752",0.3125,2018
"R778","R756",0.0625,2018
"R778","R767",0.0625,2018
"R778","R780",0.0666666666666667,2018
"R779","R368",0.125,2018
"R779","R479",0.105263157894737,2018
"R781","R520_L575",0.111111111111111,2018
"R782","R790",0.5,2018
"R784","R781",0.25,2018
"R784","R799",0.2,2018
"R790","R799",0.25,2018
"R799","R520_L575",0.1,2018
"R799","R781",0.25,2018
"R800","R423",0.166666666666667,2018
"R812","R734",0.0476190476190476,2018
"R812","R737",0.0434782608695652,2018
"R813_R1020","R291",0.0714285714285714,2018
"R813_R1020","R584",0.0666666666666667,2018
"R813_R1020","R591",0.04,2018
"R813_R1020","R713",0.136363636363636,2018
"R813_R1020","R714",0.0384615384615385,2018
"R813_R1020","R728",0.0384615384615385,2018
"R813_R1020","R737",0.0434782608695652,2018
"R813_R1020","R743",0.0434782608695652,2018
"R813_R1020","R753",0.0588235294117647,2018
"R813_R1020","R769",0.125,2018
"R814","R507_R573",0.333333333333333,2018
"R814","R729",0.0416666666666667,2018
"R814","R745",0.0769230769230769,2018
"R815","R479",0.0526315789473684,2018
"R815","R627",0.0476190476190476,2018
"R815","R750",0.0476190476190476,2018
"R815","R752",0.0714285714285714,2018
"R815","R767",0.125,2018
"R815","R778",0.0625,2018
"R821","R523",0.333333333333333,2018
"R150_R751_L230","R584",0.0833333333333333,2019
"R150_R751_L230","R835",0.142857142857143,2019
"R150_R751_L230","R874",0.125,2019
"R150_R751_L230","R900",0.0769230769230769,2019
"R291","R316",0.111111111111111,2019
"R291","R714",0.0588235294117647,2019
"R291","R837_R1118_L1228",0.0666666666666667,2019
"R291","R843",0.1,2019
"R291","R866",0.0769230769230769,2019
"R316","R717",0.0454545454545455,2019
"R316","R799",0.166666666666667,2019
"R377","R587",0.0769230769230769,2019
"R478","R316",0.2,2019
"R478","R486_R650",0.2,2019
"R479","R853",0.142857142857143,2019
"R486_R650","R150_R751_L230",0.166666666666667,2019
"R561","R437",0.125,2019
"R561","R864",0.0625,2019
"R584","R291",0.0769230769230769,2019
"R584","R471",0.0833333333333333,2019
"R584","R835",0.0909090909090909,2019
"R587","R591",0.0588235294117647,2019
"R587","R713",0.0555555555555556,2019
"R587","R893",0.0588235294117647,2019
"R587","R901",0.0625,2019
"R591","R750",0.125,2019
"R605","R584",0.0833333333333333,2019
"R605","R844",0.142857142857143,2019
"R605","R866",0.1,2019
"R611","R390",0.0833333333333333,2019
"R611","R520_L575",0.0909090909090909,2019
"R611","R605",0.0769230769230769,2019
"R611","R713",0.0588235294117647,2019
"R611","R716",0.0909090909090909,2019
"R611","R872",0.153846153846154,2019
"R611","R885",0.0769230769230769,2019
"R611","R934",0.0909090909090909,2019
"R623","R591",0.1,2019
"R623","R713",0.0625,2019
"R627","R471",0.0833333333333333,2019
"R627","R584",0.266666666666667,2019
"R627","R605",0.0769230769230769,2019
"R627","R730",0.0833333333333333,2019
"R685_R836","R523",0.125,2019
"R685_R836","R584",0.0909090909090909,2019
"R685_R836","R599",0.142857142857143,2019
"R688","R611",0.0833333333333333,2019
"R688","R870",0.111111111111111,2019
"R693","R150_R751_L230",0.166666666666667,2019
"R713","R561",0.0588235294117647,2019
"R713","R741_R1232",0.0476190476190476,2019
"R713","R833",0.0666666666666667,2019
"R713","R897",0.0555555555555556,2019
"R714","R713",0.0588235294117647,2019
"R714","R860",0.0833333333333333,2019
"R714","R881",0.0769230769230769,2019
"R714","R901",0.0769230769230769,2019
"R714","R928",0.0769230769230769,2019
"R715","R587",0.0714285714285714,2019
"R715","R591",0.125,2019
"R716","R745",0.2,2019
"R716","R901",0.1,2019
"R717","R296",0.0454545454545455,2019
"R717","R479",0.0454545454545455,2019
"R717","R561",0.0454545454545455,2019
"R717","R587",0.0416666666666667,2019
"R717","R591",0.0434782608695652,2019
"R717","R734",0.0384615384615385,2019
"R726","R627",0.0909090909090909,2019
"R728","R713",0.0666666666666667,2019
"R729","R291",0.0555555555555556,2019
"R729","R591",0.0588235294117647,2019
"R729","R611",0.235294117647059,2019
"R729","R688",0.0625,2019
"R729","R713",0.0454545454545455,2019
"R729","R716",0.0666666666666667,2019
"R729","R717",0.0833333333333333,2019
"R729","R853",0.0625,2019
"R729","R860",0.0666666666666667,2019
"R729","R861",0.0666666666666667,2019
"R729","R863",0.0714285714285714,2019
"R729","R878",0.133333333333333,2019
"R729","R934",0.0666666666666667,2019
"R729","R952",0.0714285714285714,2019
"R730","R296",0.1,2019
"R730","R471",0.222222222222222,2019
"R730","R478",0.25,2019
"R730","R685_R836",0.333333333333333,2019
"R730","R753",0.142857142857143,2019
"R730","R813_R1020",0.125,2019
"R733","R878",0.166666666666667,2019
"R734","R713",0.05,2019
"R734","R714",0.1875,2019
"R734","R840",0.0714285714285714,2019
"R734","R855",0.0476190476190476,2019
"R734","R866",0.0714285714285714,2019
"R734","R886",0.0454545454545455,2019
"R734","R900",0.117647058823529,2019
"R738","R520_L575",0.25,2019
"R738","R688",0.142857142857143,2019
"R738","R747",0.0588235294117647,2019
"R738","R928",0.2,2019
"R741_R1232","R296",0.0555555555555556,2019
"R741_R1232","R520_L575",0.0526315789473684,2019
"R741_R1232","R561",0.0555555555555556,2019
"R741_R1232","R587",0.2,2019
"R741_R1232","R591",0.166666666666667,2019
"R741_R1232","R715",0.0555555555555556,2019
"R741_R1232","R716",0.111111111111111,2019
"R741_R1232","R717",0.0833333333333333,2019
"R741_R1232","R734",0.0476190476190476,2019
"R741_R1232","R745",0.0555555555555556,2019
"R741_R1232","R747",0.0476190476190476,2019
"R741_R1232","R750",0.0555555555555556,2019
"R741_R1232","R838",0.0526315789473684,2019
"R741_R1232","R864",0.05,2019
"R741_R1232","R882",0.04,2019
"R745","R587",0.0714285714285714,2019
"R747","R715",0.0625,2019
"R747","R717",0.173913043478261,2019
"R747","R833",0.0625,2019
"R750","R561",0.125,2019
"R753","R753",0.5,2019
"R799","R561",0.111111111111111,2019
"R799","R713",0.0588235294117647,2019
"R799","R714",0.0714285714285714,2019
"R799","R734",0.0769230769230769,2019
"R799","R777_R889",0.166666666666667,2019
"R799","R857",0.125,2019
"R813_R1020","R291",0.222222222222222,2019
"R814","R716",0.25,2019
"R831_R1034","R471",0.1,2019
"R831_R1034","R523",0.142857142857143,2019
"R831_R1034","R534_R846_L595",0.142857142857143,2019
"R831_R1034","R627",0.0769230769230769,2019
"R831_R1034","R838",0.0909090909090909,2019
"R832","R471",0.125,2019
"R832","R478",0.125,2019
"R832","R584",0.0833333333333333,2019
"R832","R627",0.0769230769230769,2019
"R832","R831_R1034",0.25,2019
"R832","R927",0.2,2019
"R833","R587",0.142857142857143,2019
"R833","R591",0.222222222222222,2019
"R833","R734",0.181818181818182,2019
"R833","R867",0.0833333333333333,2019
"R833","R900",0.1,2019
"R835","R623",0.2,2019
"R837_R1118_L1228","R713",0.0625,2019
"R837_R1118_L1228","R838",0.0909090909090909,2019
"R837_R1118_L1228","R850",0.1,2019
"R838","R561",0.0833333333333333,2019
"R838","R713",0.0625,2019
"R838","R714",0.142857142857143,2019
"R838","R845",0.1,2019
"R838","R866",0.166666666666667,2019
"R838","R893",0.0769230769230769,2019
"R838","R900",0.230769230769231,2019
"R840","R291",0.0714285714285714,2019
"R840","R837_R1118_L1228",0.166666666666667,2019
"R840","R850",0.0833333333333333,2019
"R840","R900",0.0714285714285714,2019
"R842","R843",0.333333333333333,2019
"R843","R729",0.0666666666666667,2019
"R844","R150_R751_L230",0.142857142857143,2019
"R844","R561",0.1,2019
"R845","R837_R1118_L1228",0.111111111111111,2019
"R850","R150_R751_L230",0.111111111111111,2019
"R850","R730",0.111111111111111,2019
"R850","R844",0.166666666666667,2019
"R851_L1148","R291",0.111111111111111,2019
"R851_L1148","R896",0.2,2019
"R852","R587",0.0769230769230769,2019
"R854","R623",0.111111111111111,2019
"R854","R713",0.125,2019
"R854","R728",0.142857142857143,2019
"R854","R857",0.25,2019
"R854","R897",0.2,2019
"R855","R296",0.0526315789473684,2019
"R855","R591",0.0526315789473684,2019
"R855","R717",0.363636363636364,2019
"R855","R741_R1232",0.0434782608695652,2019
"R855","R747",0.15,2019
"R855","R856",0.0555555555555556,2019
"R856","R717",0.0909090909090909,2019
"R856","R747",0.117647058823529,2019
"R856","R936",0.1,2019
"R860","R611",0.181818181818182,2019
"R860","R882",0.0454545454545455,2019
"R861","R843",0.2,2019
"R863","R316",0.5,2019
"R863","R611",0.0833333333333333,2019
"R863","R918",0.166666666666667,2019
"R864","R296",0.0625,2019
"R864","R627",0.0555555555555556,2019
"R864","R717",0.272727272727273,2019
"R864","R747",0.263157894736842,2019
"R864","R855",0.05,2019
"R864","R856",0.0588235294117647,2019
"R864","R861",0.0588235294117647,2019
"R865","R739",0.333333333333333,2019
"R865","R838",0.0909090909090909,2019
"R865","R840",0.0909090909090909,2019
"R865","R857",0.166666666666667,2019
"R865","R897",0.1,2019
"R866","R584",0.0769230769230769,2019
"R866","R714",0.0666666666666667,2019
"R866","R837_R1118_L1228",0.363636363636364,2019
"R866","R840",0.0909090909090909,2019
"R866","R850",0.111111111111111,2019
"R866","R855",0.0555555555555556,2019
"R866","R900",0.0833333333333333,2019
"R867","R713",0.0526315789473684,2019
"R867","R717",0.136363636363636,2019
"R867","R747",0.105263157894737,2019
"R867","R855",0.105263157894737,2019
"R867","R856",0.166666666666667,2019
"R867","R864",0.0588235294117647,2019
"R870","R611",0.25,2019
"R870","R856",0.0909090909090909,2019
"R870","R860",0.166666666666667,2019
"R870","R870",0.166666666666667,2019
"R871","R390",0.5,2019
"R872","R734",0.0714285714285714,2019
"R872","R853",0.25,2019
