"year","sample.id","sample.date","sample.group","sample.mass","site","sex","age.class","min.age","uid","degree","betweenness","eigen","strength","stan.strength","range.area","range.area.sqrt","social.group"
NA,"DNA2W2C",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2D",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2E",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
NA,"DNA2W2F",NA,"control","n/a",NA,NA,NA,NA,"n/a",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90031","20-Jun-18","sample","0.2507","primary","M","adult",1,"R605",3,0,0.00733632106413955,0.263461538461539,0.00296024200518583,790.5,28.1158318390191,"18C"
2018,"S00K90032","20-Jun-18","sample","0.2522","primary","M","juvenile",0,"R738",14,293,0.213745864202765,0.932713582713583,0.0104799278956582,685.013427734375,26.1727611790268,"18B"
2018,"S00K90033","20-Jun-18","sample","0.2548","primary","M","juvenile",0,"R742",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90034","20-Jun-18","sample","0.2523","primary","F","adult",2,"R523",5,151,0.0137175256828193,0.716832187420422,0.0080542942406789,1292,35.9444015112229,"18A"
2018,"S00K90035","20-Jun-18","sample","0.256","primary","F","adult",1,"R584",13,106,0.0790041416974869,0.85741464039418,0.00963387236397955,829.5,28.8010416478293,"18D"
2018,"S00K90036","20-Jun-18","sample","0.2557","primary","F","juvenile",0,"R752",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90037","20-Jun-18","sample","0.2538","primary","F","juvenile",0,"R777_R889",7,34,0.0182378057099082,0.771825396825397,0.00867219546994828,986.5,31.4085975490788,"18C"
2018,"S00K90038","20-Jun-18","sample","0.2508","primary","F","adult",1,"R570",NA,NA,NA,NA,NA,NA,NA,NA
2018,"S00K90039","20-Jun-18","sample","0.2583","primary","F","juvenile",0,"R753",9,93,0.0361216975689777,0.955244043159644,0.0107330791366252,1222,34.9571165858971,"18A"
2018,"S00K90040","20-Jun-18","sample","0.2528","primary","F","adult",3,"R305",4,12,0.00583570110488671,0.510144927536232,0.00573196547793519,652.5,25.5440795488896,"18C"
2018,"S00K90041","21-Jun-18","sample","0.2481","primary","F","juvenile",0,"R724",9,213,0.00309843630424228,1.19033189033189,0.0133745156217066,471.5,21.7140507506085,"18A"
2018,"S00K90042","21-Jun-18","sample","0.2564","primary","M","juvenile",0,"R730",12,522,0.0169286536554779,1.0499333999334,0.0117970044936337,3017.5,54.9317758678891,"18A"
2018,"S00K90043","21-Jun-18","sample","0.2484","primary","F","adult",1,"R591",27,699,1,3.17772009599596,0.0357047201797299,3236,56.8858506133116,"18B"
